no,facility name,bed,city,authority,phone,post,postal code,email,address check,authority url,website,type,source,operator
87,Joseph Creek Village,65,Cranbrook,Interior Health,(250) 417-0666,"1901 WILLOWBROOK DRCRANBROOK BC V1C 6S4",V1C 6S4,inquiry@glm.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1075,https://goldenlife.ca/villages/joseph-creek-village/,Assited Living,Ministry of Health,Golden Life Management Corp. 
88,Kootenay Street Village,33,Cranbrook,Interior Health,(250) 489-0393,"620 KOOTENAY ST NCRANBROOK BC V1C 3T9",V1C 3T9,inquiry@glm.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/30753/,https://www.kootenaystreetvillage.ca/,Long-Term,Seniors Advocate,
89,Crest View Village,43,Creston,Interior Health,(250) 428-9986,"800 CAVELL ST RR4CRESTON BC V0B 1G4",V0B 1G4,inquiry@glm.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1054,https://goldenlife.ca/villages/crest-view-village/,Assited Living,Ministry of Health,Golden Life Management Corp. 
90,Swan Valley Lodge,90,Creston,Interior Health,(250) 428-2283,"818 VANCOUVER STCRESTON BC V0B 1G0",V0B 1G0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70041/,https://www.interiorhealth.ca/locations/swan-valley-lodge,Long-Term,Seniors Advocate,
91,Cumberland Lodge,66,Cumberland,Vancouver Island Health,(250) 331-8505 x 68321,"Box 400, 2696 WINDERMERE AVE
CUMBERLAND BC V0R 1S0",V0R 1S0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/74360/,https://www.islandhealth.ca/our-locations/long-term-care-locations/cumberland-lodge,Long-Term,Seniors Advocate,
92,Haida Gwaii Hospital and Health Centre,8,Daajing Giids,Northern Health,(250) 559-4900,"3209 OCEANVIEW DRDAAJING GIIDS BC V0T 1S0",V0T 1S0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82932/,https://www.northernhealth.ca/locations/long-term-care/haida-gwaii-hospital-and-health-centre-xaayda-gwaay-ngaaysdll-naay,Long-Term,Seniors Advocate,
93,Rotary Manor,117,Dawson Creek,Northern Health,(250) 719-3480,"1121 90TH AVEDAWSON CREEK BC V1G 5A3",V1G 5A3,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/74933/,https://www.northernhealth.ca/locations/long-term-care/rotary-manor,Long-Term,Seniors Advocate,
94,Augustine House,75,Delta,Fraser Health,(604) 940-6005,"3820 ARTHUR DRDELTA BC V4K 3N2",V4K 3N2,info@augustinehouse.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1032,http://www.augustinehouse.ca,Assited Living,Ministry of Health,Augustine House Society 
95,KinVillage Assisted Living,68,Delta,Fraser Health,(604) 943-0155,"5440 10TH AVEDELTA BC V4M 3X8",V4M 3X8,housing@kinvillage.org,done,https://connect.health.gov.bc.ca//assisted-living-residence/1077,http://www.kinvillage.org,Assited Living,Ministry of Health,KinVillage Association 
96,Mountain View Manor - Delta Hospital,92,Delta,Fraser Health,(604) 940-3416 ext. 787340,"5800 MOUNTAIN VIEWBLVDDELTA BC V4K 3V6",V4K 3V6,Dh.Auxiliary@fraserhealth.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82134/,https://www.deltahospitalauxiliary.org/our-services/residential-care-mountain-view-manor/,Long-Term,Seniors Advocate,
97,Northcrest Care Centre,106,Delta,Fraser Health,(604) 597-7878,"6771 120TH STDELTA BC V4E 2A7",V4E 2A7,general@northcrestcare.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/98322/,http://www.northcrestcare.ca/contact-us.jsp,Long-Term,Seniors Advocate,
98,Delta View Care Centre,292,Delta,Fraser Health,(604) 501-6700,"9321 BURNS DRDELTA BC V4K 3N3",V4K 3N3,goodsaminfo@gss.org,done,https://www.seniorsadvocatebc.ca/quickfacts/location/73617/,https://www.gss.org/locations/good-samaritan-delta-view-care-centre/,Long-Term,Seniors Advocate,
99,Cairnsmore Place,107,Duncan,Vancouver Island Health,(250) 709-3080,"250 CAIRNSMORE STDUNCAN BC V9L 4H2",V9L 4H2,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82303/,https://www.islandhealth.ca/our-locations/long-term-care-locations/cairnsmore-place,Long-Term,Seniors Advocate,
100,Cerwydden Seniors Community,56,Duncan,Vancouver Island Health,(250) 746-4432,"3243 COWICHAN LAKE RDDUNCAN BC V9L 4B8",V9L 4B8,aweld@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/17690/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/cerwydden/,Long-Term,Seniors Advocate,
101,Sunridge Place Seniors Community,160,Duncan,Vancouver Island Health,(250) 748-8048,"361 BUNDOCK AVEDUNCAN BC V9L 3P1",V9L 3P1,rarmson@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26160/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/sunridge-place/,Long-Term,Seniors Advocate,
102,Heritage Manor Ltd (Duncan),6,Duncan,Vancouver Island Health,(250) 748-3488,"5478 NORMANDY RD
DUNCAN BC V9L 6G2",V9L 6G4,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1652,,Assited Living,Ministry of Health,Heritage Manor Ltd 
103,Ts'i'ts'uwatul' Lelum,50,Duncan,Vancouver Island Health,(250) 597-2252,"5755 ALLENBY RDDUNCAN BC V9L 0E6",V9L 0E6,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1194,,Assited Living,Ministry of Health,M'akola Housing Society 
104,The Hamlets at Duncan,15,Duncan,Vancouver Island Health,(250) 597-7995,"5950 YORK RD
DUNCAN BC V9L 4Y2",V9L 0H2,duncan@optimaliving.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/13328,https://thehamletsatduncan.ca,Assited Living,Ministry of Health,Yarrow Limited Partnership 
105,Parkview Place,31,Enderby,Interior Health,(250) 838-2470,"707 3RD AVE
ENDERBY BC V0E 1V0",V0E 1V0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/71491/,https://www.interiorhealth.ca/locations/parkview-place,Long-Term,Seniors Advocate,
106,Sunset Lodge,108,Esquimalt,Vancouver Island Health,(250) 385-3422,"952 ARM STESQUIMALT BC V9A 4G7",V9A 4G7,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/79455/,https://sunsetlodgesa.ca/contact/,Long-Term,Seniors Advocate,
107,Rocky Mountain Village,16,Fernie,Interior Health,(250) 423-4214,"55 COKATO RDFERNIE BC V0B 1M4",V0B 1M4,inquiry@glm.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1101,https://goldenlife.ca/villages/rocky-mountain-village/,Assited Living,Ministry of Health,Golden Life Management Corp. 
108,Fort Nelson Multi Level Unit,7,Fort Nelson,Northern Health,(250) 774-8100,"5315 LIARD STFORT NELSON BC V0C 1R0",V0C 1R0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/10102/,https://www.northernhealth.ca/locations/long-term-care/fort-nelson-hospital,Long-Term,Seniors Advocate,
109,Heritage Manor II,24,Fort Saint John,Northern Health,(250) 787-2376,"9824 106TH AVEFORT SAINT JOHN BC V1J 2N7",V1J 2N7,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1130,,Assited Living,Ministry of Health,Northern Health Authority 
110,Peace Villa,116,Fort St John,Northern Health,(250) 774-8100,"8407 112TH AVE
FORT ST JOHN BC V1J 0J5",V1J 0J5,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/93530/,https://www.northernhealth.ca/locations/long-term-care/peace-villa,Long-Term,Seniors Advocate,
111,Stuart Lake Hospital,6,Fort St. James,Northern Health,(250) 996-8201,"600 STUART DR EFORT ST. JAMES BC V0J 1P0",V0J 1P0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/19530/,https://www.northernhealth.ca/locations/long-term-care/stuart-lake-hospital,Long-Term,Seniors Advocate,
112,Christenson Village,60,Gibsons,Vancouver Coastal Health,(604) 886-8747,"585 SHAW RDGIBSONS BC V0N 1V8",V0N 1V8,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1043,,Assited Living,Ministry of Health,Good Samaritan Canada 
113,Mountain View Assisted Living,8,Golden,Interior Health,(250) 344-7924,"750 8TH AVE SGOLDEN BC V0A 1H0",V0A 1H0,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1159,,Assited Living,Ministry of Health,Golden Community Resources Society 
114,Henry Durand Manor,28,Golden,Interior Health,(250) 344-3402,"803 9TH ST SGOLDEN BC V0A 1H0",V0A 1H0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/83135/,https://www.interiorhealth.ca/locations/henry-durand-manor,Long-Term,Seniors Advocate,
115,Silver Kettle Village,42,Grand Forks,Interior Health,(250) 442-0667,"2350 72ND AVEGRAND FORKS BC V0H 1H4",V0H 1H4,inquiry@glm.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/29170/,https://www.goldenlifemanagement.ca/index.php/villages/silver-kettle-village/overview-11,Long-Term,Seniors Advocate,
116,Boundary Lodge Assisted Living,18,Grand Forks,Interior Health,(250) 443-0006,"7130 9TH STGRAND FORKS BC V0H 1H4",V0H 1H4,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1036,,Assited Living,Ministry of Health,Grand Forks and District Housing Society 
117,Wrinch Memorial Hospital,9,Hazelton,Northern Health,(250) 842-5211,"2510 WEST HWY 62HAZELTON BC V0J 1Y0",V0J 1Y0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82471/,https://www.northernhealth.ca/locations/long-term-care/wrinch-memorial-hospital,Long-Term,Seniors Advocate,
118,Skeena Place,6,Hazelton,Northern Health,(250) 842-5217,"4780 JANZE WAYHAZELTON BC V0J 1Y0",V0J 1Y0,,done,https://connect.health.gov.bc.ca/assisted-living-residence/1106,https://www.northernhealth.ca/find-a-facility/assisted-living/skeena-place,Assited Living,Ministry of Health,Wrinch Memorial Foundation 
119,Fraser Hope Lodge,50,Hope,Fraser Health,(604) 869-5656,"1275 7TH AVEHOPE BC V0X 1L4",V0X 1L4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/95846/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/A/9/fraser-hope-lodge#.XuK1gflKiUk,Long-Term,Seniors Advocate,
120,Riverside Manor,12,Hope,Fraser Health,(604) 860-4700,"765 OLD HOPE PRINCETON WAYHOPE BC V0X 1L4",V0X 1L4,riversidemanor@optimaliving.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1100,https://riversidemanor.ca,Assited Living,Ministry of Health,CSH Riverside Manor Inc. 
121,Cottonwood Manor,6,Houston,Northern Health,(250) 845-3770,"2261 COPELAND AVE
HOUSTON BC V0J 1Z0",V0J 1Z0,cottonwoodmanor@scsa.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1051,http://www.scsa.ca/programs/housing/cottonwood-manor,Assited Living,Ministry of Health,Smithers Community Services Association 
122,Houston Health Centre,7,Houston,Northern Health,(250) 845-2294,"3202 14TH STHOUSTON BC V0J 1Z0",V0J 1Z0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/27040/,https://www.northernhealth.ca/locations/long-term-care/houston-health-care-centre,Long-Term,Seniors Advocate,
123,Columbia House - Invermere District Hospital,35,Invermere,Interior Health,(250) 342-2329,"1030 10TH STINVERMERE BC V0A 1K0",V0A 1K0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/10247/,https://www.interiorhealth.ca/locations/columbia-house,Long-Term,Seniors Advocate,
124,Columbia Garden Village,40,Invermere,Interior Health,(250) 341-3350,"800 10TH AVE, PO BOX 578INVERMERE BC V0A 1K0 ",V0A 1K0 ,inquiry@glm.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1048,https://goldenlife.ca/villages/columbia-garden-village/,Assited Living,Ministry of Health,Golden Life Management Corp. 
125,Kamloops Seniors Village,51,Kamloops,Interior Health,(250) 571-1800,"1220 HUGH ALLAN DRKAMLOOPS BC V1S 2B3",V1S 2B3,ksv.info@retirementconcepts.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1320,http://www.retirementconcepts.com/locations/kamloops-seniors-village/,Assited Living,Ministry of Health,Kamloops Seniors Village 3 LLP 
126,Brocklehurst Gemstone Care Centre,130,Kamloops,Interior Health,(778) 470-2596,"1955 TRANQUILLE RDKAMLOOPS BC V2B 3M4",V2B 3M4,info@brockgemstone.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/29790/,https://trellisseniors.ca/gemstone-kamloops/,Long-Term,Seniors Advocate,
127,Pine Grove Seniors Community,75,Kamloops,Interior Health,(250) 376-5701,"313 MCGOWAN STKAMLOOPS BC V2B 2N8",V2B 2N8,dfrasca@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/83922/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/interior/pine-grove/,Long-Term,Seniors Advocate,
128,The Hamlets at Westsyde,35,Kamloops,Interior Health,(250) 579-9061,"3255 OVERLANDER DRKAMLOOPS BC V2B 0A5",V2B 0A5,westsyde@optimaliving.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/13327,http://www.thehamletsatwestsyde.com,Assited Living,Ministry of Health,Yarrow Limited Partnership 
129,Ponderosa Lodge,135,Kamloops,Interior Health,(250) 374-5671,"425 COLUMBIA STKAMLOOPS BC V2C 2T4",V2C 2T4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70209/,https://www.interiorhealth.ca/locations/ponderosa-lodge,Long-Term,Seniors Advocate,
130,Bedford Manor,76,Kamloops,Interior Health,(250) 434-1702,"529 SEYMOUR STKAMLOOPS BC V2C 0A1",V2C 0A1,info@jhstr.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1033,,Assited Living,Ministry of Health,Connective Support Society Kamloops 
131,Berwick on the Park,25,Kamloops,Interior Health,(250) 377-7275,"60 WHITESHIELD CRES SKAMLOOPS BC V2E 2S9",V2E 2S9,mail@berwickrc.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1181,https://www.berwickretirement.com/bop/,Assited Living,Ministry of Health,Berwick Investments Ltd. 
132,Chartwell Kamloops Retirement Residence,60,Kamloops,Interior Health,(250) 376-5363,"628 TRANQUILLE RDKAMLOOPS BC V2B 3H6",V2B 3H6,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1076,https://chartwell.com/en/retirement-residences/chartwell-kamloops-retirement-residence/overview,Assited Living,Ministry of Health,Chartwell Master Care LP together with 107153 BC Ltd. 
133,Ridgeview Lodge,129,Kamloops,Interior Health,(250) 376-3131,"920 DESMOND STKAMLOOPS BC V2B 5K6",V2B 5K6,jennifer.strachan@siennaliving.ca ,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26060/,https://www.siennaliving.ca/long-term-care/british-columbia/ridgeview-lodge-care-community,Long-Term,Seniors Advocate,
134,Overlander Long Term Care,183,Kamloops,Interior Health,(250) 554-2323,"953 SOUTHILL STKAMLOOPS BC V2B 7Z9",V2B 7Z9,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82808/,https://www.interiorhealth.ca/locations/overlander,Long-Term,Seniors Advocate,
135,Victorian Community Health Centre of Kaslo,20,Kaslo,Interior Health,(250) 353-2211,"673A AVEKASLO BC V0G 1M0",V0G 1M0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70603/,https://www.interiorhealth.ca/locations/victorian-community-long-term-care,Long-Term,Seniors Advocate,
136,Three Links Manor,82,Kelowna,Interior Health,(250) 763-2585,"1449 KELGLEN CRES
KELOWNA BC V1Y 8P4",V1Y 8P4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/87151/,https://www.interiorhealth.ca/locations/three-links-manor,Long-Term,Seniors Advocate,
137,The Village at Mill Creek,96,Kelowna,Interior Health,(250) 860-2216,"1450 SUTHERLAND AVEKELOWNA BC V1Y 5Y5",V1Y 5Y5,millcreek@baptisthousing.org,done,https://connect.health.gov.bc.ca//assisted-living-residence/1154,http://www.baptisthousing.org,Assited Living,Ministry of Health,Baptist Housing Enhanced Living Communities 
138,Mountainview Village,89,Kelowna,Interior Health,(250) 762-2192,"1540 K.L.O. RDKELOWNA BC V1W 3P6",V1W 3P6,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1091,https://gss.org/locations/mountainview-village/,Assited Living,Ministry of Health,Good Samaritan Canada 
139,Chartwell Chatsworth Senior Bungalows,55,Kelowna,Interior Health,(250) 860-1064,"1831 PARKVIEW CRESKELOWNA BC V1X 7G7",V1X 7G7,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1113,https://chartwell.com/en/retirement-residences/chartwell-chatsworth-senior-bungalows/overview,Assited Living,Ministry of Health,Chartwell Master Care LP (Chartwell Chatsworth Retirement Residence) 
140,Brandt's Creek Mews,102,Kelowna,Interior Health,(778) 478-8800,"2081 CROSS RDKELOWNA BC V1V 2G2",V1V 2G2,bcmadmin@agecare.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/27030/,https://www.agecare.ca/community/agecare-kelowna/seniors-care/,Long-Term,Seniors Advocate,
141,Cottonwoods Care Centre,221,Kelowna,Interior Health,(250) 862-4100,"2255 ETHEL STKELOWNA BC V1Y 2Z9",V1Y 2Z9,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82695/,https://www.interiorhealth.ca/locations/cottonwoods-care-centre,Long-Term,Seniors Advocate,
142,Mission Creek Landing,104,Kelowna,Interior Health,(250) 860-2330,"3081 HALL RDKELOWNA BC V1W 2R5",V1W 2R5,sabel.withler@kaigo.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/71716/,https://www.kaigo.ca/mission-creek-landing,Long-Term,Seniors Advocate,
143,Glenmore Lodge,118,Kelowna,Interior Health,(236) 420-1717,"325 DRYSDALE BLVDKELOWNA BC V1V 1P5",V1V 1P5,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/30684/,https://www.siennaliving.ca/long-term-care/british-columbia/glenmore-lodge-care-community,Long-Term,Seniors Advocate,
144,Spring Valley Seniors Community,151,Kelowna,Interior Health,(250) 979-6000,"355 TERAI CRTKELOWNA BC V1X 5X6",V1X 5X6,springvalley.adminassist@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/72302/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/interior/spring-valley/,Long-Term,Seniors Advocate,
145,The Heritage Retirement Residence,42,Kelowna,Interior Health,(250) 768-9926,"3630 BROWN RDKELOWNA BC V4T 7Y9",V4T 7Y9,info@heritageretirementliving.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1275,https://verveseniorliving.com/the-heritage/,Assited Living,Ministry of Health,Diversicare dba Heritage Retirement Inc 
146,Sun Pointe Village,60,Kelowna,Interior Health,(250) 491-1400,"700 RUTLAND RD NKELOWNA BC V1X 7W8",V1X 7W8,kwasylyshen@baptisthousing.org,done,https://connect.health.gov.bc.ca//assisted-living-residence/1153,https://www.baptisthousing.org/communities/kelowna-interior/sun-pointe-village,Assited Living,Ministry of Health,Baptist Housing Enhanced Living Communities 
147,The Vineyards Residence,50,Kelowna,Interior Health,(236) 361-0947,"726 VALLEY RDKELOWNA BC V1V 0E9",V1V 0E9,info@VineyardsResidence.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/2594,http://www.vineyardsresidence.ca,Assited Living,Ministry of Health,The Vineyards Community Limited Partnership 
148,Hawthorn Park Retirement Community,40,Kelowna,Interior Health,(250) 861-6636,"867 K.L.O. RDKELOWNA BC V1Y 9G5",V1Y 9G5,info@hawthornparkretirement.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1066,,Assited Living,Ministry of Health,"Diversicare Canada Management Services Co., Inc. "
149,David Lloyd Jones Home,64,Kelowna,Interior Health,(250) 762-2706,"934 BERNARD AVEKELOWNA BC V1Y 6P8",V1Y 6P8,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/72447/,https://www.interiorhealth.ca/locations/david-lloyd-jones-home,Long-Term,Seniors Advocate,
150,Harmony Living for Seniors - Kelowna,17,Kelowna,Interior Health,(250) 861-3991,"962-964 LAURIER AVEKELOWNA BC V1Y 6B1",V1Y 6B1,harmonyliving@telus.net,done,https://connect.health.gov.bc.ca//assisted-living-residence/1049,http://www.harmonylivingforseniors.ca,Assited Living,Ministry of Health,608698 BC Ltd. dba Harmony Living for Seniors 
151,Orchard Haven - South Similkameen Health Centre,38,Keremeos,Interior Health,(250) 499-3030,"700 3RD STKEREMEOS BC V0X 1N3",V0X 1N3,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/18050/,https://www.interiorhealth.ca/locations/orchard-haven,Long-Term,Seniors Advocate,
152,Kyalami Place,14,Keremeos,Interior Health,(250) 499-2366,"720 3RD STKEREMEOS BC V0X 1N3",V0X 1N3,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1107,http://LSCSS.com,Assited Living,Ministry of Health,Lower Similkameen Community Services Society 
153,Garden View Village,41,Kimberley,Interior Health,(250) 427-4014,"280 4TH AVEKIMBERLEY BC V1A 2R6",V1A 2R6,inquiry@glm.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1144,http://goldenlifemanagement.ca/index.php/villages/garden-view-village/overview-4,Assited Living,Ministry of Health,Golden Life Management Corp. 
154,Kimberley Special Care Home,55,Kimberley,Interior Health,(250) 427-4807,"386 2ND AVEKIMBERLEY BC V1A 2P6",V1A 2P6,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70052/,https://www.interiorhealth.ca/locations/kimberley-special-care-home,Long-Term,Seniors Advocate,
155,Delta King Place,15,Kitimat,Northern Health,(250) 632-6535,"701 MOUNTAINVIEW SQUAREKITIMAT BC V8C 2N1",V8C 2N1,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1126,http://deltakingplace.ca/,Assited Living,Ministry of Health,Delta King Place Housing Society 
156,Mountainview Lodge - Kitimat General Hospital,36,Kitimat,Northern Health,(250) 632-8357,"920 LAHAKAS BLVD SKITIMAT BC V8C 2S3",V8C 2S3,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82460/,https://www.northernhealth.ca/locations/long-term-care/mountainview-lodge,Long-Term,Seniors Advocate,
157,Oyster Harbour Seniors Community,89,Ladysmith,Vancouver Island Health,(250) 245-3318,"1127 4TH AVELADYSMITH BC V9G 1A6",V9G 1A6,oysterharbour@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/78487/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/oyster-harbour/,Long-Term,Seniors Advocate,
158,La Rosa Gardens,22,Ladysmith,Vancouver Island Health,(250) 245-1016,"1211 CLOKE RDLADYSMITH BC V9G 2B6",V9G 2B6,larosagardens@telus.net,done,https://connect.health.gov.bc.ca//assisted-living-residence/1081,http://www.viha.ca/hcc/assisted/locations/la_rosa_gardens.htm,Assited Living,Ministry of Health,4 All Seasons Holdings Ltd. 
159,Blue Heron Villa,25,Lake Country,Interior Health,(250) 766-1660,"100-9509 MAIN ST
LAKE COUNTRY BC V4V 2N3",V4V 2N3,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1035,https://www.blueheronvilla.ca,Assited Living,Ministry of Health,Lake Country Senior Housing Society 
160,The Priory,150,Langford,Vancouver Island Health,(250) 370-5626,"567 GOLDSTREAM AVELANGFORD BC V9B 2W4",V9B 2W4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/16793/,https://www.islandhealth.ca/our-locations/long-term-care-locations/priory-hiscock-and-heritage-woods-long-term-care,Long-Term,Seniors Advocate,
161,Langley Seniors Village,90,Langley,Fraser Health,(604) 539-9934,"20363 65TH AVELANGLEY BC V2Y 3E3",V2Y 3E3,lsv.info@retirementconcepts.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1321,http://www.retirementconcepts.com/locations/langley-seniors-village/,Assited Living,Ministry of Health,Langley Seniors Village 3 LLP 
162,Harrison Landing,36,Langley,Fraser Health,(604) 530-7075,"20899 DOUGLAS CRESLANGLEY BC V3A 9L3",V3A 9L3,reception@harrisonlanding.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1133,http://www.harrisonlanding.com,Assited Living,Ministry of Health,Harrison Landing Inc. 
163,Harrison Pointe,50,Langley,Fraser Health,(604) 530-1101,"21616 52ND AVELANGLEY BC V2Y 1L7",V2Y 1L7,reception@harrisonpointe.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1184,http://www.harrisonpointe.ca,Assited Living,Ministry of Health,Harrison Pointe Inc. 
164,Langley Memorial Hospital Long Term Care Units,210,Langley,Fraser Health,(604) 514-6026,"22051 FRASER HWYLANGLEY BC V4H 4H4",V4H 4H4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82280/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/F/langley-memorial-hospital#.XuK19_lKiUk,Long-Term,Seniors Advocate,
165,The Village Langley,52,Langley,Fraser Health,(604) 427-3755,"3920 198 STLANGLEY BC V3A 1E1",V3A 1E1,info@thevillagelangleyretirement.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1361,http://www.thevillagelangley.com,Assited Living,Ministry of Health,Verve Senior Living 
166,Langley Lodge,139,Langley,Fraser Health,(604) 530-2305,"5451 204TH STLANGLEY BC V3A 5M9",V3A 5M9,mailings@langleylodge.org,done,https://www.seniorsadvocatebc.ca/quickfacts/location/71974/,https://langleylodge.org,Long-Term,Seniors Advocate,
167,Evergreen Timbers,58,Langley,Fraser Health,(604) 530-7171,"5464 203RD STLANGLEY BC V3A 0A4",V3A 0A4,admin_llhs@shaw.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1149,http://llhs.ca,Assited Living,Ministry of Health,Langley Lions Housing Society 
168,Fort Langley Seniors Community,96,Langley,Fraser Health,(604) 888-0711,"8838 GLOVER RDLANGLEY BC V1M 2R4",V1M 2R4,ebautista@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/85092/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/fort-langley/,Long-Term,Seniors Advocate,
169,Chartwell Langley Gardens Retirement Residence,85,Langley,Fraser Health,(604) 888-0228,"8888 202ND STLANGLEY BC V1M 4A7",V1M 4A7,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1058,https://chartwell.com/en/retirement-residences/chartwell-langley-gardens-care-residence/overview,Assited Living,Ministry of Health,Chartwell Retirement Residences 
170,Mountain View Lodge - Lillooet Hospital and Health Centre,22,Lillooet,Interior Health,(250) 256-1312,"951 MURRAY STLILLOOET BC V0K 1V0",V0K 1V0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/81885/,https://www.interiorhealth.ca/locations/mountain-view-lodge,Long-Term,Seniors Advocate,
171,Monashee Mews,46,Lumby,Interior Health,(778) 473-0100,"2165 NORRIS AVE
LUMBY BC V0E 2G0",V0E 2G5,momadmin@agecare.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/29360/,https://www.agecare.ca/community/agecare-lumby/seniors-care/,Long-Term,Seniors Advocate,
172,Mackenzie and District Hospital and Health Centre,4,Mackenzie,Northern Health,(250) 997-3263,"45 CENTENNIAL DRMACKENZIE BC V0J 2C0",V0J 2C0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26980/,https://www.northernhealth.ca/locations/long-term-care/mackenzie-and-district-hospital-and-health-centre,Long-Term,Seniors Advocate,
173,Royal Crescent Gardens,51,Maple Ridge,Fraser Health,(604) 463-6077,"11698 226TH STMAPLE RIDGE BC V2X 6H1",V2X 6H1,royalcrescentgardens@optimaliving.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1166,https://royalcrescentgardens.ca,Assited Living,Ministry of Health,Optima Retirement Services Ltd. 
